TokenPattern	PatternLength
expr_stmt-expr-block-expr-block-expr-block-expr-block-expr-call-argument_list-argument-expr-operator	100
function-block-block_content-enum-block-class-block-function-block-block_content-expr_stmt-expr-name	100
for-block-block_content-for-block-block_content-constructor-block-block_content-import-name-operator	100
for-expr_stmt-expr-ternary-then-expr-ternary-then-expr-ternary-then-expr-ternary-then-expr-name-name	100
expr_stmt-expr-block-for-block-block_content-for-control-for-block-block_content-decl_stmt-decl-name	100
interface-block-class-block-try-block-block_content-function-block-block_content-expr_stmt-expr-name	100
function-block-block_content-decl_stmt-decl-init-expr-call-argument_list-argument-expr-name-operator	100
expr_stmt-expr-call-argument_list-argument-expr-block-expr-call-argument_list-argument-expr-operator	100
class-block-function-block-block_content-try-catch-block-block_content-expr_stmt-expr-call-name-name	100
if_stmt-if-block-block_content-function-block-block_content-try-block-block_content-import-name-name	100
function-block-block_content-class-block-function-block-block_content-if_stmt-if-condition-expr-name	100
expr_stmt-expr-block-expr-block-expr-block-expr-block-expr-block-expr-block-expr-block-expr-operator	100
block-block_content-class-block-function-block-block_content-decl_stmt-decl-init-expr-call-name-name	100
class-block-function-block-block_content-function-block-block_content-expr_stmt-expr-block-expr-name	100
for-block-block_content-for-block-block_content-function-block-block_content-expr_stmt-expr-operator	100
function-block-block_content-function-block-block_content-class-block-expr_stmt-expr-block-expr-name	100
expr_stmt-expr-block-for-block-block_content-if_stmt-if-block-block_content-decl_stmt-decl-type-name	100
for-expr_stmt-expr-block-expr-block-expr-block-expr-block-expr-block-expr-block-expr-block-expr-name	100
decl_stmt-decl-init-expr-call-argument_list-argument-expr-call-argument_list-argument-expr-name-name	100
function-block-block_content-for-block-block_content-if_stmt-if-block-block_content-import-name-name	100
function-block-block_content-if_stmt-if-block-block_content-expr_stmt-expr-throws-argument-expr-name	100
function-block-block_content-enum-block-class-block-function-parameter_list-parameter-decl-type-name	100
function-block-block_content-catch-block-block_content-catch-block-block_content-expr_stmt-expr-name	100
function-block-block_content-function-block-block_content-function-block-block_content-function-name	100
if_stmt-else-block-block_content-decl_stmt-decl-init-expr-call-argument_list-argument-expr-name-name	100
for-block-block_content-for-block-block_content-expr_stmt-expr-block-expr-block-expr-block-expr-name	100
block-block_content-decl_stmt-decl-block-block_content-expr_stmt-expr-block-expr-block-expr-operator	100
class-block-expr_stmt-expr-call-argument_list-argument-expr-call-argument_list-argument-expr-literal	100
function-block-block_content-function-block-block_content-catch-block-block_content-import-name-name	100
function-block-block_content-if_stmt-if-block-block_content-if_stmt-if-condition-expr-call-name-name	100
expr_stmt-expr-block-expr-call-argument_list-argument-expr-call-argument_list-argument-expr-operator	100
expr_stmt-expr-block-try-block-block_content-expr_stmt-expr-call-argument_list-argument-expr-literal	100
class-block-function-block-block_content-switch-block-block_content-switch-block-block_content-break	100
interface-block-interface-block-interface-block-interface-block-class-block-function-annotation-name	100
class-block-function-block-block_content-return-expr-call-argument_list-argument-expr-call-name-name	100
expr_stmt-expr-block-expr-throws-argument-expr-block-expr-call-argument_list-argument-expr-name-name	100
class-block-function-block-block_content-while-block-block_content-decl_stmt-decl-init-expr-operator	100
function-block-block_content-expr_stmt-expr-call-argument_list-argument-expr-name-index-expr-literal	100
expr_stmt-expr-block-for-block-block_content-for-control-for-block-block_content-expr_stmt-expr-name	100
switch-block-block_content-function-block-block_content-try-catch-parameter_list-parameter-decl-name	100
expr_stmt-expr-block-expr-block-expr-throws-argument-expr-call-argument_list-argument-expr-name-name	100
class-block-function-block-block_content-for-block-block_content-if_stmt-if-condition-expr-name-name	100
expr_stmt-expr-block-for-block-block_content-for-expr_stmt-expr-name-argument_list-argument-operator	100
class-block-function-block-block_content-for-block-block_content-switch-block-block_content-continue	100
class-block-for-block-block_content-if_stmt-if-block-block_content-expr_stmt-expr-call-name-operator	100
for-expr_stmt-expr-ternary-then-expr-ternary-then-expr-ternary-then-expr-ternary-then-expr-call-name	100
for-block-block_content-for-block-block_content-return-expr-call-argument_list-argument-expr-literal	100
function-block-block_content-enum-block-class-block-function-block-block_content-decl_stmt-decl-name	100
class-block-constructor-block-block_content-constructor-block-block_content-expr_stmt-expr-name-name	100
class-block-function-block-block_content-function-block-block_content-if_stmt-if-condition-expr-name	100
class-block-class-block-function-block-block_content-class-block-expr_stmt-expr-block-expr-call-name	100
for-block-block_content-expr_stmt-expr-block-while-block-block_content-expr_stmt-expr-call-name-name	100
function-block-block_content-constructor-block-block_content-constructor-block-block_content-comment	100
expr_stmt-expr-block-if_stmt-if-block-block_content-throw-expr-call-argument_list-argument-expr-name	100
expr_stmt-expr-block-expr-block-if_stmt-if-block-block_content-expr_stmt-expr-block-return-expr-name	100
class-block-function-block-block_content-for-block-block_content-expr_stmt-expr-name-index-expr-name	100
function-block-block_content-return-expr-block-return-expr-call-argument_list-argument-expr-operator	100
try-block-block_content-for-block-block_content-expr_stmt-expr-block-expr-block-expr-block-expr-name	100
catch-block-block_content-expr_stmt-expr-block-expr-block-expr-call-argument_list-argument-expr-name	100
expr_stmt-expr-ternary-then-expr-ternary-then-expr-ternary-then-expr-ternary-then-expr-name-operator	100
catch-block-block_content-expr_stmt-expr-block-try-block-block_content-expr_stmt-expr-call-name-name	100
class-block-static-block-block_content-expr_stmt-expr-call-argument_list-argument-expr-name-operator	100
class-block-function-block-block_content-function-block-block_content-class-block-function-type-name	100
function-block-block_content-class-block-function-block-block_content-return-expr-call-name-operator	100
class-block-constructor-block-block_content-expr_stmt-expr-call-argument_list-argument-expr-operator	100
class-block-expr_stmt-expr-block-expr-block-expr-block-expr-block-expr-block-expr-block-expr-literal	100
class-block-catch-block-block_content-expr_stmt-expr-call-argument_list-argument-expr-call-name-name	100
expr_stmt-expr-block-for-block-block_content-expr_stmt-expr-call-argument_list-argument-expr-literal	100
class-block-function-block-block_content-if_stmt-if-block-block_content-expr_stmt-expr-name-operator	100
class-block-class-block-class-block-function-block-block_content-expr_stmt-expr-block-expr-call-name	100
function-block-block_content-try-block-block_content-decl_stmt-decl-argument_list-argument-expr-name	100
expr_stmt-expr-block-try-block-block_content-if_stmt-if-block-block_content-expr_stmt-expr-name-name	100
function-block-block_content-class-block-function-block-block_content-return-expr-call-argument_list	100
