commit_id,author_date,bugcount,fixcount,ENCODING NAME NAME,NAME NAME OP,NAME OP NAME,OP NAME NAME,NAME NAME NAME,NAME OP NEWLINE,OP NEWLINE NAME,NEWLINE NAME OP,OP NAME OP,NAME OP OP,OP OP NEWLINE,NAME OP NL,OP NL STRING,NL STRING OP,STRING OP NL,OP NL NAME,NL NAME OP,NAME OP STRING,OP STRING NEWLINE,STRING NEWLINE NAME,NEWLINE NAME NAME,OP OP NAME,OP STRING OP,STRING OP OP,OP NAME NEWLINE,NAME NEWLINE NAME,OP STRING NL,STRING NL STRING,STRING OP NEWLINE,NEWLINE NAME NEWLINE,OP OP NUMBER,OP NUMBER OP,NUMBER OP NEWLINE,NAME OP NUMBER,NAME NAME NEWLINE,OP NEWLINE STRING,NEWLINE STRING NEWLINE,OP NL OP,NL OP STRING,STRING OP STRING,STRING OP NAME,NUMBER OP NUMBER,NUMBER OP OP,OP OP NL,STRING OP NUMBER,NUMBER OP NL,OP OP OP,OP NEWLINE ENDMARKER,OP OP STRING,OP NEWLINE OP,NEWLINE OP NAME,STRING NEWLINE OP,OP NAME NL,NAME NL OP,NL OP NEWLINE,OP NEWLINE COMMENT,NEWLINE COMMENT NL,COMMENT NL NAME,NAME NEWLINE COMMENT,COMMENT NL COMMENT,NL COMMENT NL,OP NUMBER NEWLINE,NUMBER NEWLINE NAME,NL NAME NEWLINE,NL OP OP,NEWLINE NAME NUMBER,NAME NUMBER OP,NUMBER OP NAME,NAME NAME STRING,NAME STRING OP,NAME OP COMMENT,OP COMMENT NL,COMMENT NL STRING,NAME NEWLINE ENDMARKER,OP STRING NAME,STRING NAME NAME,COMMENT NL ENDMARKER,NL OP NAME,NEWLINE NAME STRING,NAME STRING NAME,ENCODING NUMBER NUMBER,NUMBER NUMBER OP,OP NEWLINE NUMBER,NEWLINE NUMBER NUMBER,ENCODING NAME OP,ENCODING COMMENT NL,NL STRING NL,NAME NAME COMMENT,NAME COMMENT NEWLINE,COMMENT NEWLINE NAME,NL OP NL,NL NAME NAME,NEWLINE STRING OP,STRING NL OP,STRING OP COMMENT,OP COMMENT NEWLINE,ENCODING NAME NUMBER,NAME NUMBER NAME,NUMBER NAME NAME,NAME NAME NUMBER,NAME NUMBER NUMBER,NUMBER NUMBER NAME,NUMBER NEWLINE NUMBER,NEWLINE NUMBER OP,OP NAME NUMBER,NAME STRING STRING,STRING STRING NAME,NAME STRING NEWLINE,STRING NAME NL,NAME NL STRING,STRING NAME OP,OP NUMBER NAME,NUMBER NAME STRING,STRING NEWLINE COMMENT,STRING NAME STRING,NUMBER NEWLINE ENDMARKER,NAME NEWLINE OP,NL NAME STRING,NAME NL NAME,NL NAME NL,STRING NL NAME,NUMBER OP STRING,NAME NL COMMENT,OP NL COMMENT,OP NAME STRING,ENCODING NAME STRING,NEWLINE OP STRING,NEWLINE COMMENT NEWLINE,COMMENT NEWLINE COMMENT,ENCODING OP NAME,OP NL NUMBER,NL NUMBER OP,NAME NAME NL,ENCODING STRING NEWLINE,NAME NEWLINE STRING,NEWLINE STRING NAME,NAME NUMBER NEWLINE,NAME NEWLINE NUMBER,NEWLINE OP OP,COMMENT NL OP,COMMENT NEWLINE STRING,STRING NEWLINE STRING,STRING NEWLINE ENDMARKER,COMMENT NEWLINE NUMBER,NUMBER NEWLINE COMMENT,NAME NAME ERRORTOKEN,NAME ERRORTOKEN NAME,ERRORTOKEN NAME NAME,ENCODING STRING OP,STRING NL COMMENT,NUMBER NAME OP,STRING NEWLINE NUMBER,NL STRING NEWLINE,NUMBER NAME NUMBER,NUMBER NEWLINE STRING,NAME ERRORTOKEN ERRORTOKEN,ERRORTOKEN ERRORTOKEN NAME,ERRORTOKEN NAME ERRORTOKEN,ERRORTOKEN NAME OP,OP NAME ERRORTOKEN,NAME ERRORTOKEN NEWLINE,ERRORTOKEN NEWLINE OP,COMMENT NEWLINE OP,OP NUMBER COMMENT,NUMBER COMMENT NEWLINE,STRING STRING OP,NEWLINE OP NL,OP STRING COMMENT,STRING COMMENT NEWLINE,OP NEWLINE NL,NEWLINE NL NAME,OP OP COMMENT,NL STRING COMMENT,STRING COMMENT NL,NUMBER OP COMMENT,NUMBER NAME NL,OP STRING STRING,STRING STRING NEWLINE,OP NUMBER NL,NUMBER NL NAME,NEWLINE NAME COMMENT,STRING STRING STRING,OP NAME COMMENT,NAME STRING NL,NAME COMMENT NL,ENCODING NAME NEWLINE,STRING NEWLINE NL,NEWLINE NUMBER NAME,NAME ERRORTOKEN OP,ERRORTOKEN OP NEWLINE,NUMBER NAME NEWLINE,NEWLINE OP NEWLINE,NUMBER NEWLINE OP,NL STRING NAME,NL OP NUMBER,NL NAME COMMENT,OP NUMBER NUMBER,NUMBER NL STRING,ENCODING NUMBER OP,NUMBER NL OP,ENCODING STRING NAME,NAME NUMBER STRING,NUMBER STRING NAME,ENCODING OP STRING,ENCODING OP OP,NAME NEWLINE NL,STRING NAME NEWLINE,STRING NAME NUMBER,ENCODING NUMBER NAME,COMMENT NL NUMBER,NAME OP ERRORTOKEN,OP ERRORTOKEN NAME,ENCODING ERRORTOKEN NAME
3e8a508d4c37fd4003f4d1d98a368e4a5ea52460,1278974106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05e914ecaa4e930e9048cd4f72267e4fd8db10e2,1279055514,0,0,1,1,3,0,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81e79a87c41498cfbbbef2299339fc967a3fba1f,1279118774,0,0,0,0,2,0,0,2,2,4,3,2,1,0,2,2,0,0,0,2,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32e922e74c2ddbcc3269aa1dbb8714002a6ac430,1279800530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d5051bf90909f693a74ea0f2bdc3db341460a5a3,1280153003,1,0,1,35,221,13,4,16,55,47,209,41,33,2,0,0,3,5,5,13,4,4,27,7,14,0,7,15,0,0,9,0,3,6,0,3,8,0,0,0,0,2,0,0,2,0,0,0,6,1,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4c8ae5e0a5b30039075a87ba39aec6da64fdd138,1280793126,0,0,1,24,127,9,2,33,44,43,139,16,15,6,0,0,0,6,8,28,4,6,21,19,30,22,9,16,0,0,1,2,1,4,0,4,6,5,1,0,0,1,10,0,3,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7bbbf3dbefcecdccd5fba71bda5406a6ab24d27e,1282658312,0,0,0,3,9,1,1,1,3,1,8,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eecef70fcdd173cc54ad8ac7edba9e9b31855134,1287959875,1,0,1,6,53,0,2,10,13,12,58,8,6,2,2,2,2,2,2,5,0,4,7,2,11,4,0,2,0,0,2,0,0,0,0,0,2,4,4,2,2,2,3,0,0,2,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc5f0be414b22b930eaa4306bde9844dc9690c91,1288301634,0,0,1,17,110,0,4,11,37,28,127,24,22,13,12,12,6,7,8,9,0,0,11,9,30,16,2,2,0,0,0,0,0,13,11,13,1,0,0,3,3,10,10,0,2,3,0,0,4,1,8,0,0,0,0,0,0,6,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1d3b72da488808f6ecffdc234fd9ced56412834c,1288368640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
